Part Code,Part Name,Motor Type,Retail,TAX,Harga Jual,Kategori Moving,Jenis Part,Prioritas
05524M79PF03,RIGHT CONNECTING PLATE DECAL I,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05524M79RG03,RIGHT CONNECTING PLATE DECAL I,AX 180  (VIENTO) CBS,11410,1255,12665,MEDIUM,BODY,1
05524M79VM03,RIGHT CONNECTING PLATE DECAL I,AX 180  (VIENTO) ABS,22820,2510,25330,MEDIUM,BODY,1
05525M79E703,LEFT SIDE CONNECTOR STICKER II,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05525M79RG03,LEFT SIDE CONNECTOR STICKER II,AX 180  (VIENTO) CBS,11410,1255,12665,MEDIUM,BODY,1
05525M79VM03,LEFT SIDE CONNECTOR STICKER II,AX 180  (VIENTO) ABS,22820,2510,25330,MEDIUM,BODY,1
05526M79E703,RIGHT CONNECTING PLATE DECAL II,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05526M79RG03,RIGHT CONNECTING PLATE DECAL II,AX 180  (VIENTO) CBS,11410,1255,12665,MEDIUM,BODY,1
05526M79VM03,RIGHT CONNECTING PLATE DECAL II,AX 180  (VIENTO) ABS,22820,2510,25330,MEDIUM,BODY,1
05531N280004,FUEL TANK WARNING STICKER,SRV 250 AMT,5710,628,6338,SLOW,BODY,1
05531N47BG03,LEFT FUEL TANK STICKER,SRV 250 AMT,17120,1883,19003,SLOW,BODY,1
05531N47S603,LEFT FUEL TANK STICKER,SRV 250 AMT,17120,1883,19003,SLOW,BODY,1
05531N47X903,LEFT FUEL TANK STICKER,SRV 250 AMT,17120,1883,19003,SLOW,BODY,1
05531PCZBL02,LEFT FUEL TANK STICKER,SRV 250 AL (LIBERO),22820,2510,25330,SLOW,BODY,1
05531PCZJE02,LEFT FUEL TANK STICKER,SRV 250 AL (LIBERO),22820,2510,25330,SLOW,BODY,1
05531PCZNJ02,LEFT FUEL TANK STICKER,SRV 250 AL (LIBERO),22820,2510,25330,SLOW,BODY,1
05532N47BG03,RIGHT FUEL TANK DECAL,SRV 250 AMT,17120,1883,19003,SLOW,BODY,1
05532N47S603,RIGHT FUEL TANK DECAL,SRV 250 AMT,17120,1883,19003,SLOW,BODY,1
05532N47X903,RIGHT FUEL TANK DECAL,SRV 250 AMT,17120,1883,19003,SLOW,BODY,1
05532PCDBL00,FUEL TANK STICKER,SRK 800 RR,5710,628,6338,SLOW,BODY,1
05532PCDFB00,FUEL TANK STICKER,SRK 800 RR,5710,628,6338,SLOW,BODY,1
05532PCDRG00,FUEL TANK STICKER,SRK 800 RR,5710,628,6338,SLOW,BODY,1
05532PCZBL02,RIGHT FUEL TANK DECAL,SRV 250 AL (LIBERO),22820,2510,25330,SLOW,BODY,1
05532PCZJE02,RIGHT FUEL TANK DECAL,SRV 250 AL (LIBERO),22820,2510,25330,SLOW,BODY,1
05532PCZNJ02,RIGHT FUEL TANK DECAL,SRV 250 AL (LIBERO),22820,2510,25330,SLOW,BODY,1
05533PCDBL00,LEFT FUEL TANK STICKER I,SRK 800 RR,5710,628,6338,SLOW,BODY,1
05533PCDRG00,LEFT FUEL TANK STICKER I,SRK 800 RR,5710,628,6338,SLOW,BODY,1
05533PCDX900,LEFT FUEL TANK STICKER I,SRK 800 RR,5710,628,6338,SLOW,BODY,1
05533U340001,FUEL LABEL,AX 180  (VIENTO) ABS,5710,628,6338,MEDIUM,OTHER,1
05534NTA0000,ENERGY CONSUMPTION LABEL,FORT 250  ADVENTURE ABS,5710,628,6338,MEDIUM,OTHER,1
05534PCDBL00,RIGHT FUEL TANK STICKER I,SRK 800 RR,5710,628,6338,SLOW,BODY,1
05534PCDRG00,RIGHT FUEL TANK STICKER I,SRK 800 RR,5710,628,6338,SLOW,BODY,1
05534PCDX900,RIGHT FUEL TANK STICKER I,SRK 800 RR,5710,628,6338,SLOW,BODY,1
05535PCZ0002,LABEL OF FUEL TANK,SRV 250 AL (LIBERO),22820,2510,25330,SLOW,BODY,1
05539B240000,OIL LEVEL WARNING LABEL,AX 180  (VIENTO) ABS,5710,628,6338,FAST,OIL_FLUID,1
05541PCDBL02,LEFT FOOT PROTECTIVE BOARD STICKER,SRK 800 RR,22820,2510,25330,MEDIUM,BODY,1
05541PCDFB03,LEFT FOOT PROTECTIVE BOARD STICKER,SRK 800 RR,22820,2510,25330,MEDIUM,BODY,1
05541PCDRG02,LEFT FOOT PROTECTIVE BOARD STICKER,SRK 800 RR,22820,2510,25330,MEDIUM,BODY,1
05541PCDX902,LEFT FOOT PROTECTIVE BOARD STICKER,SRK 800 RR,22820,2510,25330,MEDIUM,BODY,1
05542L79BW01,LEFT PEDAL FRONT TRIM PANEL DECAL,FORT 250  ADVENTURE ABS,22820,2510,25330,MEDIUM,BODY,1
