Part Code,Part Name,Motor Type,Retail,TAX,Harga Jual,Kategori Moving,Jenis Part,Prioritas
169156680000,CLUTCH PULL ROD ASSEMBLY,SRK 800 RR,62750,6902,69652,MEDIUM,ENGINE,1
16916652MM01,HANDHOLE COVER,SRK 800 RR,28520,3137,31657,MEDIUM,BODY,1
169185050000,OIL RULE,FORD 250,11410,1255,12665,FAST,OIL_FLUID,1
169205150000,PLUG,SRV 600 V,5710,628,6338,FAST,OTHER,1
169206680000,SPRING,SRK 800 RR,5710,628,6338,MEDIUM,OTHER,1
169216680000,CLUTCH CABLE SUPPORT,SRK 800 RR,11410,1255,12665,FAST,ENGINE,1
169226680010,TRIGGER HEAD ASEMBLY,SRV 600 V,68450,7529,75979,MEDIUM,OTHER,1
169226680011,TRIGGER HEAD,SRK 800 RR,57040,6274,63314,MEDIUM,OTHER,1
169255450000,SPONGE SUPPORT PRESSING PLATE,FORD 250,22820,2510,25330,MEDIUM,OTHER,1
169256460000,SPIGOT,SRV 600 V,11410,1255,12665,MEDIUM,OTHER,1
169265450000,BOLT AS-LEFT COVER,FORD 250,17120,1883,19003,FAST,BODY,1
169276520000,O-RING 48.1×3.6,SRK 800 RR,5710,628,6338,MEDIUM,OTHER,1
16927706MM00,CHAIN WHEEL COVER ASSEMBLY,SRV 250 AMT,199640,21960,221600,FAST,BODY,1
169305450000,AIR INLET SPONGE ASSEMBLY,FORD 250,17120,1883,19003,MEDIUM,OTHER,1
